Depth,DENB,GRDE,CADE                    
87.7,2.51,127.93,104.76
87.8,2.51,112.96,104.73
87.9,2.5,153.09,104.73
88,2.49,128.59,104.73
88.1,2.49,156.37,104.74
88.2,2.49,153.09,104.75
88.3,2.48,158.68,104.74
88.4,2.47,134.5,104.77
88.5,2.47,146.84,104.75
88.6,2.48,136.15,104.75
88.7,2.47,126.78,104.73
88.8,2.45,163.61,104.73
88.9,2.42,199.29,104.73
89,2.42,179.72,104.61
89.1,2.44,179.07,104.19
89.2,2.48,128.59,103.8
89.3,2.51,157.2,103.51
89.4,2.51,158.35,103.5
89.5,2.5,152.43,103.31
89.6,2.5,110.5,102.98
89.7,2.5,143.38,102.7
89.8,2.5,129.41,102.55
89.9,2.49,125.95,102.53
90,2.47,174.13,102.59
90.1,2.46,157.53,102.87
90.2,2.47,133.68,103.2
90.3,2.49,150.13,103.51
90.4,2.51,151.28,103.64
90.5,2.51,127.6,103.68
90.6,2.51,141.41,103.64
90.7,2.52,135.49,103.56
90.8,2.51,98.33,103.55
90.9,2.5,127.6,103.63
91,2.5,144.54,103.87
91.1,2.51,136.48,104.24
91.2,2.49,140.26,104.58
91.3,2.47,151.44,104.73
91.4,2.48,178.9,104.71
91.5,2.49,132.37,104.71
91.6,2.49,126.28,104.73
91.7,2.48,111.65,104.76
91.8,2.48,142.73,104.72
91.9,2.49,176.6,104.75
92,2.49,163.44,104.72
92.1,2.48,111.98,104.75
92.2,2.46,142.4,104.75
92.3,2.43,138.12,104.75
92.4,2.42,180.71,104.74
92.5,2.44,175.12,104.75
92.6,2.46,180.22,104.73
92.7,2.48,148.65,104.7
92.8,2.48,138.45,104.48
92.9,2.48,143.88,104.16
93,2.49,142.4,103.87
93.1,2.5,151.61,103.74
93.2,2.5,147.17,103.74
93.3,2.48,188.6,103.77
93.4,2.48,128.26,104.02
93.5,2.48,138.12,104.36
93.6,2.5,115.27,104.67
93.7,2.5,140.1,104.73
93.8,2.5,134.83,104.73
93.9,2.49,140.75,104.73
94,2.49,129.24,104.71
94.1,2.48,144.7,104.54
94.2,2.48,102.77,104.21
94.3,2.49,145.19,103.84
94.4,2.5,102.77,103.59
94.5,2.51,135.66,103.52
94.6,2.52,133.19,103.49
94.7,2.52,136.48,103.51
94.8,2.51,113.46,103.51
94.9,2.51,109.02,103.51
95,2.49,135.16,103.52
95.1,2.47,127.27,103.48
95.2,2.45,86.49,103.5
95.3,2.47,156.21,103.5
95.4,2.48,125.79,103.53
95.5,2.48,110.33,103.53
95.6,2.47,151.77,103.54
95.7,2.45,145.85,103.51
95.8,2.44,169.04,103.51
95.9,2.46,143.55,103.53
96,2.49,143.22,103.55
96.1,2.52,139.6,103.54
96.2,2.52,128.09,103.53
96.3,2.51,130.23,103.53
96.4,2.48,145.85,103.52
96.5,2.49,146.18,103.5
96.6,2.49,178.24,103.54
96.7,2.5,102.44,103.69
96.8,2.49,168.05,104.12
96.9,2.48,120.03,104.46
97,2.48,159.33,104.71
97.1,2.5,137.46,104.71
97.2,2.52,107.37,104.78
97.3,2.52,145.52,105.05
97.4,2.51,109.51,105.95
97.5,2.51,151.93,107.14
97.6,2.51,136.48,108.1
97.7,2.54,151.93,108.44
97.8,2.54,110.33,108.37
97.9,2.54,103.76,108.08
98,2.5,144.04,107.02
98.1,2.42,135.82,105.99
98.2,2.31,139.27,105.73
98.3,2.25,115.76,106.17
98.4,2.25,138.62,106.1
98.5,2.29,168.71,104.53
98.6,2.32,146.51,102.79
98.7,2.35,127.27,101.53
98.8,2.38,125.13,101.26
98.9,2.42,164.76,101.26
99,2.46,144.7,101.55
99.1,2.49,156.05,101.58
99.2,2.5,167.06,101.57
99.3,2.52,118.06,101.59
99.4,2.49,129.41,101.94
99.5,2.48,161.47,102.34
99.6,2.47,146.51,102.82
99.7,2.49,148.65,103.2
99.8,2.49,130.89,103.53
99.9,2.5,156.87,103.52
100,2.49,120.36,103.56
100.1,2.48,187.95,104.14
100.2,2.46,167.06,105.14
100.3,2.46,160.32,105.82
100.4,2.44,171.83,105.46
100.5,2.44,141.25,104.45
100.6,2.43,158.18,103.72
100.7,2.44,166.73,103.5
100.8,2.44,154.4,103.53
100.9,2.45,145.36,103.53
101,2.47,161.97,103.54
101.1,2.48,124.97,103.49
101.2,2.5,132.2,103.49
101.3,2.49,131.87,103.51
101.4,2.47,138.45,103.48
101.5,2.42,166.24,103.2
101.6,2.38,160.32,102.84
101.7,2.36,162.62,102.55
101.8,2.37,166.24,102.47
101.9,2.39,135.16,102.46
102,2.44,160.49,102.5
102.1,2.48,142.89,102.53
102.2,2.5,156.7,102.74
102.3,2.49,157.69,103.03
102.4,2.49,128.26,103.35
102.5,2.5,170.35,103.52
102.6,2.52,147.33,103.59
102.7,2.51,131.22,103.7
102.8,2.5,166.73,104.02
102.9,2.49,164.76,104.06
103,2.5,149.96,104.04
103.1,2.52,122.01,103.96
103.2,2.53,127.76,104.3
103.3,2.53,163.77,104.61
103.4,2.51,124.97,104.73
103.5,2.51,139.77,104.71
103.6,2.52,114.77,104.63
103.7,2.55,126.28,104.29
103.8,2.54,122.17,103.9
103.9,2.53,140.42,103.57
104,2.52,111.16,103.52
104.1,2.51,127.43,103.51
104.2,2.52,118.23,103.55
104.3,2.53,130.23,103.67
104.4,2.53,134.18,103.91
104.5,2.53,111.16,104.28
104.6,2.51,124.15,104.46
104.7,2.51,160.98,104.21
104.8,2.5,90.6,103.8
104.9,2.51,141.41,103.5
105,2.51,102.61,103.52
105.1,2.51,115.76,103.51
105.2,2.47,121.84,103.5
105.3,2.42,127.43,103.49
105.4,2.42,161.64,103.49
105.5,2.44,165.25,103.49
105.6,2.46,139.11,103.5
105.7,2.46,125.3,103.53
105.8,2.47,116.75,103.53
105.9,2.48,155.39,103.54
106,2.49,133.52,103.51
106.1,2.5,139.44,103.53
106.2,2.51,145.03,103.63
106.3,2.53,126.28,103.93
106.4,2.54,163.77,104.12
106.5,2.54,161.14,104.26
106.6,2.5,163.77,104.36
106.7,2.47,139.11,104.55
106.8,2.43,123.82,104.69
106.9,2.41,115.27,104.66
107,2.4,95.04,104.68
107.1,2.42,136.48,104.7
107.2,2.44,126.94,104.63
107.3,2.47,138.29,104.22
107.4,2.48,125.95,103.8
107.5,2.5,116.42,103.51
107.6,2.48,162.79,103.53
107.7,2.48,143.71,103.52
107.8,2.48,122.83,103.5
107.9,2.5,124.47,103.49
108,2.52,90.77,103.49
108.1,2.52,88.46,103.51
108.2,2.51,134.01,103.48
108.3,2.5,98.99,103.33
108.4,2.49,109.68,102.99
108.5,2.49,111.65,102.68
108.6,2.51,81.89,102.59
108.7,2.52,98,102.81
108.8,2.54,100.8,103.12
108.9,2.54,127.11,103.38
109,2.53,100.14,103.49
109.1,2.51,120.86,103.51
109.2,2.48,106.72,103.51
109.3,2.45,126.94,103.52
109.4,2.44,133.52,103.51
109.5,2.45,135.98,103.52
109.6,2.48,122.17,103.48
109.7,2.51,153.58,103.5
109.8,2.53,135,103.48
109.9,2.54,137.96,103.51
110,2.53,134.5,103.51
110.1,2.52,122.34,103.54
110.2,2.52,128.91,103.52
110.3,2.53,144.37,103.5
110.4,2.52,123.49,103.49
110.5,2.51,126.78,103.49
110.6,2.49,138.29,103.5
110.7,2.47,113.79,103.5
110.8,2.47,89.78,103.53
110.9,2.5,125.13,103.53
111,2.53,147.17,103.56
111.1,2.55,135.33,103.54
111.2,2.52,121.02,103.5
111.3,2.48,121.02,103.49
111.4,2.46,126.28,103.5
111.5,2.47,129.9,103.55
111.6,2.49,139.44,103.66
111.7,2.5,157.03,103.66
111.8,2.49,107.37,103.63
111.9,2.47,144.86,103.49
112,2.47,111.81,103.49
112.1,2.46,136.15,103.49
112.2,2.47,122.99,103.51
112.3,2.47,166.4,103.54
112.4,2.48,153.91,103.63
112.5,2.48,153.91,103.91
112.6,2.47,101.45,104.29
112.7,2.48,125.13,104.59
112.8,2.51,137.96,104.74
112.9,2.53,133.03,104.87
113,2.54,163.12,105.03
113.1,2.52,134.5,105.25
113.2,2.5,150.29,105.14
113.3,2.5,129.74,104.97
113.4,2.5,131.22,104.57
113.5,2.49,128.09,104.12
113.6,2.48,135,103.72
113.7,2.46,115.92,103.47
113.8,2.47,146.02,103.49
113.9,2.48,126.78,103.49
114,2.51,120.36,103.5
114.1,2.49,154.73,103.48
114.2,2.48,184.33,103.5
114.3,2.47,164.76,103.5
114.4,2.48,136.64,103.63
114.5,2.5,159.83,103.97
114.6,2.51,175.45,103.95
114.7,2.51,155.72,103.87
114.8,2.5,104.09,103.51
114.9,2.49,125.13,103.52
115,2.49,106.06,103.55
115.1,2.49,130.23,103.82
115.2,2.49,160.65,104.19
115.3,2.51,107.21,104.38
115.4,2.54,112.96,103.94
115.5,2.55,125.95,103.34
115.6,2.54,114.28,103.11
115.7,2.5,125.63,103.27
115.8,2.48,155.72,103.51
115.9,2.47,138.94,103.51
116,2.49,166.24,103.54
116.1,2.49,110.99,103.53
116.2,2.5,146.02,103.52
116.3,2.5,149.63,103.47
116.4,2.51,105.4,103.33
116.5,2.5,143.55,102.89
116.6,2.48,120.69,102.31
116.7,2.46,107.21,101.69
116.8,2.43,152.59,101.35
116.9,2.4,139.77,101.22
117,2.38,169.69,101.17
117.1,2.39,105.89,101.21
117.2,2.4,147.5,101.23
117.3,2.45,152.26,101.61
117.4,2.5,125.46,102.35
117.5,2.52,147.66,103.07
117.6,2.51,158.35,103.52
117.7,2.5,132.04,103.57
117.8,2.48,174.13,103.88
117.9,2.48,122.99,104.17
118,2.49,160.65,104.2
118.1,2.49,127.27,103.98
118.2,2.49,163.77,103.75
118.3,2.48,110.33,103.76
118.4,2.49,110.5,103.98
118.5,2.5,144.54,104.29
118.6,2.5,120.86,104.47
118.7,2.49,153.09,104.03
118.8,2.49,98,103.22
118.9,2.49,115.92,102.55
119,2.49,108.69,102.28
119.1,2.48,98.33,102.27
119.2,2.47,110.33,102.31
119.3,2.47,136.97,102.37
119.4,2.49,152.1,102.39
119.5,2.5,106.72,102.41
119.6,2.51,105.24,102.7
119.7,2.49,138.62,102.93
119.8,2.48,124.15,102.91
119.9,2.47,94.88,102.63
120,2.47,101.45,102.44
120.1,2.47,122.5,102.43
120.2,2.48,136.48,102.39
120.3,2.49,139.77,102.38
120.4,2.5,122.17,102.38
120.5,2.48,121.51,102.4
120.6,2.48,172.16,102.47
120.7,2.49,164.6,102.78
120.8,2.51,148.48,103.16
120.9,2.51,158.35,103.56
121,2.5,124.31,103.68
121.1,2.49,115.92,103.65
121.2,2.5,139.11,103.43
121.3,2.51,111.98,103.12
121.4,2.51,151.93,103.15
121.5,2.5,126.12,103.27
121.6,2.49,134.18,103.54
121.7,2.48,124.8,103.59
121.8,2.5,147.66,103.58
121.9,2.51,129.57,103.53
122,2.51,154.4,103.31
122.1,2.51,155.22,102.92
122.2,2.52,154.07,102.55
122.3,2.53,122.01,102.05
122.4,2.52,151.28,101.63
122.5,2.49,133.19,101.22
122.6,2.44,148.48,101.05
122.7,2.42,132.37,101.04
122.8,2.43,157.53,101.05
122.9,2.46,128.09,101.27
123,2.49,137.63,101.91
123.1,2.5,131.05,102.71
123.2,2.5,127.11,103.33
123.3,2.49,156.37,103.51
123.4,2.49,144.21,103.51
123.5,2.48,137.3,103.53
123.6,2.51,133.52,103.68
123.7,2.52,132.53,104.09
123.8,2.53,139.44,104.46
123.9,2.53,152.1,104.71
124,2.52,127.11,104.69
124.1,2.51,156.05,104.53
124.2,2.52,110.17,104.21
124.3,2.52,135.16,103.98
124.4,2.52,125.79,104.07
124.5,2.51,154.24,104.39
124.6,2.49,131.22,104.7
124.7,2.49,127.93,105.04
124.8,2.5,148.65,105.18
124.9,2.49,153.74,104.34
125,2.43,135,103.24
125.1,2.39,115.43,102.31
125.2,2.36,95.21,102.28
125.3,2.38,149.3,102.26
125.4,2.4,101.45,102.26
125.5,2.43,147.82,102.25
125.6,2.45,135.33,102.28
125.7,2.45,144.86,102.27
125.8,2.46,120.03,102.3
125.9,2.47,125.95,102.35
126,2.48,135.82,102.53
126.1,2.49,145.36,102.9
126.2,2.52,124.64,103.31
126.3,2.52,125.63,103.6
126.4,2.51,136.64,103.6
126.5,2.49,114.94,103.62
126.6,2.49,138.45,103.94
126.7,2.48,133.19,104.32
126.8,2.48,121.02,104.47
126.9,2.49,137.63,104.49
127,2.51,95.21,104.51
127.1,2.54,132.86,104.69
127.2,2.54,118.39,104.65
127.3,2.54,119.54,104.39
127.4,2.53,118.23,104.01
127.5,2.54,125.63,103.64
127.6,2.52,141.9,103.52
127.7,2.5,138.94,103.5
127.8,2.49,117.57,103.53
127.9,2.49,138.78,103.39
128,2.51,130.89,102.98
128.1,2.54,92.57,102.56
128.2,2.58,100.3,102.34
128.3,2.59,111.16,102.74
128.4,2.56,124.64,103.05
128.5,2.53,110.83,103.08
128.6,2.5,128.91,103.1
128.7,2.47,153.58,103.18
128.8,2.47,125.95,103.45
128.9,2.49,135.33,103.16
129,2.51,134.5,102.93
129.1,2.53,159.01,103
129.2,2.54,116.91,103.55
129.3,2.54,150.62,103.77
129.4,2.54,145.85,103.75
129.5,2.53,125.46,103.48
129.6,2.53,129.74,103.52
129.7,2.53,109.51,103.6
129.8,2.53,179.23,103.76
129.9,2.52,149.14,104
130,2.51,104.25,104.3
130.1,2.51,85.83,104.52
130.2,2.51,140.75,104.45
130.3,2.49,119.05,104.03
130.4,2.48,111.98,103.64
130.5,2.47,104.74,103.46
130.6,2.47,97.84,103.49
130.7,2.47,100.96,103.5
130.8,2.46,108.85,103.55
130.9,2.44,124.97,103.97
131,2.42,162.29,104.37
131.1,2.41,117.24,104.73
131.2,2.42,113.79,104.72
131.3,2.45,122.34,104.73
131.4,2.48,152.43,104.7
131.5,2.51,129.41,104.7
131.6,2.53,124.31,104.53
131.7,2.54,108.2,104.32
131.8,2.53,122.01,104.32
131.9,2.51,126.78,104.48
132,2.5,137.79,104.54
132.1,2.5,137.3,104.15
132.2,2.51,131.55,103.8
132.3,2.53,118.23,103.55
132.4,2.54,121.84,103.54
132.5,2.54,148.48,103.51
132.6,2.52,152.92,103.51
132.7,2.53,105.57,103.5
132.8,2.54,158.35,103.49
132.9,2.55,128.75,103.51
133,2.56,107.87,103.51
133.1,2.56,88.63,103.52
133.2,2.54,92.08,103.5
133.3,2.52,118.06,103.53
133.4,2.5,168.87,103.53
133.5,2.5,103.76,103.55
133.6,2.49,164.6,103.58
133.7,2.51,138.78,103.7
133.8,2.52,125.79,103.98
133.9,2.53,138.12,104.33
134,2.53,167.23,104.61
134.1,2.52,94.71,104.61
134.2,2.52,161.8,104.31
134.3,2.51,112.96,104.14
134.4,2.52,132.2,103.61
134.5,2.53,140.92,103.11
134.6,2.52,117.4,102.51
134.7,2.49,128.75,102.54
134.8,2.48,107.7,102.81
134.9,2.47,121.02,102.77
135,2.46,149.8,102.56
135.1,2.46,112.96,102.27
135.2,2.47,123.16,102.24
135.3,2.48,102.93,102.24
135.4,2.49,150.13,102.25
135.5,2.49,131.55,102.27
135.6,2.5,145.19,102.28
135.7,2.5,166.08,102.27
135.8,2.5,131.38,102.32
135.9,2.49,152.76,102.5
136,2.5,145.52,102.92
136.1,2.49,178.57,103.42
136.2,2.5,125.13,104.01
136.3,2.5,159.5,104.39
136.4,2.52,149.8,104.65
136.5,2.52,153.58,104.7
136.6,2.52,156.05,104.62
136.7,2.52,150.13,104.43
136.8,2.52,124.8,104.18
136.9,2.52,100.3,104.27
137,2.51,158.68,104.46
137.1,2.5,154.07,104.55
137.2,2.49,147.82,104.17
137.3,2.51,97.34,103.75
137.4,2.53,109.84,103.51
137.5,2.54,133.03,103.46
137.6,2.54,144.37,103.48
137.7,2.54,131.87,103.46
137.8,2.52,125.13,103.48
137.9,2.5,165.42,103.47
138,2.49,143.22,103.49
138.1,2.5,135.33,103.48
138.2,2.49,155.39,103.42
138.3,2.49,157.69,103.23
138.4,2.46,162.29,103.19
138.5,2.46,118.72,102.97
138.6,2.47,117.4,102.77
138.7,2.5,114.61,102.41
138.8,2.52,89.12,102.3
138.9,2.55,83.04,102.28
139,2.54,127.6,102.27
139.1,2.51,130.23,102.28
139.2,2.49,182.35,102.27
139.3,2.49,140.42,102.29
139.4,2.5,135.98,102.23
139.5,2.5,129.24,102.25
139.6,2.51,163.61,102.23
139.7,2.52,126.94,102.27
139.8,2.52,116.75,102.23
139.9,2.51,156.54,102.26
140,2.5,146.67,102.25
140.1,2.49,131.87,102.14
140.2,2.49,135.98,101.72
140.3,2.47,127.6,101.33
140.4,2.47,94.38,101.02
140.5,2.47,101.62,100.98
140.6,2.48,146.34,100.9
140.7,2.48,119.54,100.85
140.8,2.48,121.51,100.8
140.9,2.52,128.59,100.87
141,2.56,155.06,101.27
141.1,2.6,99.97,102.33
141.2,2.57,81.72,103.56
141.3,2.53,111.81,104.55
141.4,2.51,129.74,104.91
141.5,2.5,111.98,104.85
141.6,2.5,121.68,104.53
141.7,2.5,132.04,104.03
141.8,2.51,125.79,103.66
141.9,2.51,142.89,103.49
142,2.51,157.2,103.49
142.1,2.51,135.33,103.5
142.2,2.51,174.13,103.52
142.3,2.52,118.56,103.49
142.4,2.52,118.88,103.5
142.5,2.52,146.84,103.47
142.6,2.51,100.47,103.48
142.7,2.49,152.76,103.47
142.8,2.47,130.72,103.47
142.9,2.48,165.25,103.47
143,2.49,137.14,103.49
143.1,2.5,123.65,103.49
143.2,2.49,140.42,103.44
143.3,2.47,122.67,103.11
143.4,2.46,120.69,102.8
143.5,2.49,121.19,102.87
143.6,2.54,119.38,103.46
143.7,2.56,109.68,104.17
143.8,2.53,144.54,104.55
143.9,2.49,136.97,104.62
144,2.51,131.55,104.22
144.1,2.53,126.28,103.82
144.2,2.55,111.16,103.52
144.3,2.54,151.28,103.56
144.4,2.52,112.64,103.55
144.5,2.49,85.18,103.55
144.6,2.48,113.79,103.48
144.7,2.48,105.4,103.51
144.8,2.47,164.76,103.51
144.9,2.48,114.77,103.51
145,2.48,135.66,103.52
145.1,2.5,137.96,103.5
145.2,2.51,166.9,103.52
145.3,2.52,124.31,103.47
145.4,2.53,156.54,103.48
145.5,2.54,100.3,103.47
145.6,2.54,126.94,103.49
145.7,2.53,116.09,103.49
145.8,2.55,89.62,103.49
145.9,2.55,83.37,103.48
146,2.54,134.67,103.53
146.1,2.52,133.52,103.85
146.2,2.53,103.26,104.29
146.3,2.54,139.44,104.65
146.4,2.52,88.46,104.87
146.5,2.5,124.15,105.24
146.6,2.49,145.36,105.61
146.7,2.49,154.89,105.84
146.8,2.5,143.88,105.46
146.9,2.52,126.61,105.07
147,2.53,139.93,104.63
147.1,2.54,133.85,104.34
147.2,2.53,148.48,104.37
147.3,2.54,102.93,104.7
147.4,2.55,107.04,104.97
147.5,2.54,152.92,104.94
147.6,2.55,145.52,104.68
147.7,2.53,101.45,104.6
147.8,2.54,144.04,104.5
147.9,2.52,118.72,104.34
148,2.51,121.35,104.43
148.1,2.5,174.3,104.53
148.2,2.51,135.49,104.73
148.3,2.52,119.71,104.7
148.4,2.52,136.64,104.78
148.5,2.53,180.87,104.94
148.6,2.53,110.83,104.68
148.7,2.54,145.03,104.25
148.8,2.54,130.56,103.85
148.9,2.54,139.11,104.06
149,2.54,131.22,104.49
149.1,2.53,146.84,104.84
149.2,2.53,129.08,104.82
149.3,2.53,138.78,104.44
149.4,2.55,152.92,104.11
149.5,2.55,109.68,104.06
149.6,2.55,139.44,104.22
149.7,2.53,140.26,104.16
149.8,2.52,123.98,103.9
149.9,2.51,121.84,103.63
150,2.53,123.32,103.51
150.1,2.53,137.63,103.5
150.2,2.52,142.56,103.49
150.3,2.51,161.64,103.45
150.4,2.51,147.99,103.23
150.5,2.51,113.29,102.91
150.6,2.49,141.74,102.59
150.7,2.49,146.02,102.5
150.8,2.5,116.75,102.52
150.9,2.52,149.47,102.53
151,2.54,125.79,102.52
151.1,2.53,97.84,102.48
151.2,2.51,148.81,102.47
151.3,2.48,121.51,102.46
151.4,2.47,143.22,102.48
151.5,2.48,143.71,102.48
151.6,2.49,127.93,102.47
151.7,2.5,152.1,102.48
151.8,2.53,126.28,102.75
151.9,2.53,105.57,103.07
152,2.53,133.52,103.39
152.1,2.52,116.09,103.47
152.2,2.51,136.31,103.49
152.3,2.53,113.46,103.53
152.4,2.52,121.68,103.72
152.5,2.53,158.51,103.83
152.6,2.52,122.67,103.81
152.7,2.54,142.73,103.61
152.8,2.55,118.56,103.53
152.9,2.54,137.3,103.61
153,2.52,198.3,103.86
153.1,2.53,108.85,104.15
153.2,2.55,172.82,104.35
153.3,2.55,130.39,104.45
153.4,2.54,144.37,104.37
153.5,2.52,153.91,104.25
153.6,2.51,148.65,103.92
153.7,2.51,174.63,103.72
153.8,2.5,179.89,103.57
153.9,2.5,179.89,103.57
154,2.49,140.26,103.5
154.1,2.49,131.87,103.47
154.2,2.5,140.26,103.48
154.3,2.51,143.06,103.47
154.4,2.5,167.39,103.48
154.5,2.49,181.53,103.46
154.6,2.49,131.05,103.5
154.7,2.49,130.72,103.49
154.8,2.5,132.37,103.52
154.9,2.51,137.63,103.69
155,2.52,118.06,104.28
155.1,2.52,138.29,104.66
155.2,2.51,156.87,104.87
155.3,2.51,127.93,104.56
155.4,2.52,132.37,104.56
155.5,2.53,107.04,104.59
155.6,2.52,159.66,104.72
155.7,2.53,141.74,104.75
155.8,2.53,126.61,104.72
155.9,2.53,132.86,104.73
156,2.54,129.24,104.65
156.1,2.56,105.89,104.4
156.2,2.56,114.44,103.94
156.3,2.55,90.77,103.29
156.4,2.54,91.42,102.42
156.5,2.54,86,101.72
156.6,2.54,121.51,101.38
156.7,2.51,87.31,101.67
156.8,2.5,101.45,101.62
156.9,2.5,101.13,101.45
157,2.5,98.82,101.08
157.1,2.5,101.95,101.04
157.2,2.5,84.85,101.03
157.3,2.49,105.07,101.1
157.4,2.47,98.33,101.41
157.5,2.49,91.42,101.96
157.6,2.52,87.15,102.52
157.7,2.55,70.71,102.61
157.8,2.55,84.35,102.49
157.9,2.55,94.55,102.29
158,2.54,104.25,102.37
158.1,2.54,75.64,102.51
158.2,2.52,90.93,102.49
158.3,2.49,136.97,102.5
158.4,2.46,143.71,102.67
158.5,2.43,148.48,103.05
158.6,2.41,164.6,103.37
158.7,2.42,135.33,103.45
158.8,2.45,129.57,103.47
158.9,2.48,111.98,103.47
159,2.5,134.5,103.49
159.1,2.51,126.78,103.49
159.2,2.52,160.65,103.5
159.3,2.51,144.37,103.48
159.4,2.5,133.03,103.43
159.5,2.48,130.39,103.22
159.6,2.48,140.42,102.84
159.7,2.49,112.47,102.55
159.8,2.49,112.47,102.39
159.9,2.49,125.46,102.41
160,2.46,136.31,102.41
160.1,2.44,96.85,102.43
160.2,2.47,92.9,102.44
160.3,2.5,109.84,102.82
160.4,2.52,108.52,103.21
160.5,2.52,122.5,103.23
160.6,2.54,131.05,103.11
160.7,2.55,95.53,102.97
160.8,2.56,109.51,103.26
160.9,2.56,114.77,103.43
161,2.56,137.46,103.76
161.1,2.55,116.58,103.86
161.2,2.53,102.28,104.02
161.3,2.51,104.91,103.97
161.4,2.52,140.26,103.89
161.5,2.52,138.78,103.62
161.6,2.53,115.1,103.19
161.7,2.5,106.39,102.77
161.8,2.48,124.64,102.4
161.9,2.46,157.85,102.26
162,2.48,152.76,102.26
162.1,2.5,135.33,102.25
162.2,2.52,103.59,102.22
162.3,2.53,96.03,102.21
162.4,2.55,126.61,102.16
162.5,2.55,82.05,102.31
162.6,2.54,101.29,102.69
162.7,2.52,113.13,103.19
162.8,2.5,114.94,103.68
162.9,2.49,133.19,104.14
163,2.45,120.53,104.59
163.1,2.44,122.17,104.87
163.2,2.47,116.91,104.24
163.3,2.5,121.68,102.94
163.4,2.51,93.23,101.64
163.5,2.5,89.62,101.17
163.6,2.48,98.66,101.46
163.7,2.46,104.41,101.88
163.8,2.45,127.93,102.17
163.9,2.45,113.29,102.27
164,2.48,136.97,102.24
164.1,2.51,141.41,102.24
164.2,2.5,155.22,102.25
164.3,2.49,137.96,102.26
164.4,2.47,138.29,102.27
164.5,2.47,119.54,102.3
164.6,2.46,138.12,102.36
164.7,2.46,173.15,102.38
164.8,2.47,127.11,102.46
164.9,2.5,149.96,102.81
165,2.52,127.76,103.15
165.1,2.53,104.41,103.22
165.2,2.53,83.04,103.17
165.3,2.54,119.38,102.78
165.4,2.52,140.26,102.61
165.5,2.49,133.19,102.27
165.6,2.45,133.35,102.28
165.7,2.44,128.09,102.23
165.8,2.45,123.32,101.98
165.9,2.45,142.56,101.55
166,2.48,111.81,101.15
166.1,2.5,90.44,100.94
166.2,2.52,90.27,100.98
166.3,2.53,110.17,101
166.4,2.53,85.83,101.1
166.5,2.56,92.08,101.48
166.6,2.59,75.15,101.79
166.7,2.6,107.54,101.8
166.8,2.6,71.36,101.59
166.9,2.55,64.13,101.85
167,2.46,124.31,102.84
167.1,2.09,121.19,101.04
167.2,2.18,135.66,101.03
167.3,2.25,134.18,101.05
167.4,2.3,110.33,101.05
167.5,2.32,96.19,101.07
167.6,2.36,152.92,101.06
167.7,2.39,137.79,101.01
167.8,2.37,132.53,101
167.9,2.4,119.05,100.98
168,2.48,121.68,101.03
168.1,2.53,140.26,101.03
168.2,2.53,156.87,101.03
168.3,2.48,128.42,101.01
168.4,2.48,109.35,101.05
168.5,2.47,131.22,101.14
168.6,2.46,128.26,101.2
168.7,2.44,129.74,101.21
168.8,2.42,141.9,101.43
168.9,2.46,109.02,101.78
169,2.47,126.12,101.96
169.1,2.51,113.13,102.08
169.2,2.49,121.51,102.09
169.3,2.5,135.49,102.22
169.4,2.49,135,101.97
169.5,2.48,141.74,101.57
169.6,2.47,145.03,101.25
169.7,2.47,175.45,101.12
169.8,2.52,126.78,101.08
169.9,2.57,131.22,101.01
170,2.61,83.86,101.3
170.1,2.59,86.33,102.38
170.2,2.55,134.18,103.54
170.3,2.5,163.94,103.84
170.4,2.46,131.71,103.27
170.5,2.44,108.69,102.98
170.6,2.44,103.26,103.14
170.7,2.46,150.13,103.22
170.8,2.49,132.86,103.03
170.9,2.5,117.73,102.86
171,2.5,130.56,103.13
171.1,2.48,154.07,103.24
171.2,2.46,142.73,102.79
171.3,2.46,135.16,101.24
171.4,2.42,93.23,99.71
171.5,2.4,118.88,98.77
171.6,2.44,87.31,98.92
171.7,2.47,95.7,99.69
171.8,2.48,118.39,100.46
171.9,2.49,135,101.04
172,2.54,110.99,101.4
172.1,2.55,126.28,101.77
172.2,2.55,130.07,101.82
172.3,2.54,121.68,101.49
172.4,2.55,117.9,101.09
172.5,2.51,130.89,100.76
172.6,2.49,150.45,100.77
172.7,2.46,126.12,100.98
172.8,2.45,132.04,101.33
172.9,2.46,156.87,101.31
173,2.48,140.59,101.16
173.1,2.56,120.69,101.06
173.2,2.6,83.37,101.16
173.3,2.59,107.54,101.41
173.4,2.5,119.38,101.54
173.5,2.46,134.83,101.71
173.6,2.47,159.99,101.87
173.7,2.48,138.12,102.47
173.8,2.51,116.58,102.6
173.9,2.54,151.44,102.45
174,2.56,122.01,101.85
174.1,2.52,118.56,101.14
174.2,2.44,98.82,100.66
174.3,2.37,113.46,100.12
174.4,2.34,126.28,100.09
174.5,2.38,121.51,100.29
174.6,2.44,134.34,100.86
174.7,2.48,122.5,101.01
174.8,2.49,99.32,100.8
174.9,2.5,106.88,100.23
175,2.47,103.43,100.04
175.1,2.44,143.55,99.87
175.2,2.41,122.17,99.92
175.3,2.41,147.99,100.22
175.4,2.36,112.64,100.61
175.5,2.32,111.81,101
175.6,2.29,115.92,101.38
175.7,2.29,112.14,101.97
175.8,2.33,104.58,102.74
175.9,2.39,107.87,103.19
176,2.43,113.79,103
176.1,2.4,90.11,102.61
176.2,2.44,103.59,102.21
