Depth,DENB,GRDE,CADE                    
19.8,2.91,95.53,106.33
19.9,2.91,125.3,106.33
20,2.91,95.21,106.32
20.1,2.92,128.09,106.29
20.2,2.94,117.24,106.28
20.3,2.96,130.23,106.31
20.4,2.98,75.8,106.31
20.5,2.96,81.56,106.31
20.6,2.95,108.52,106.29
20.7,2.94,103.76,106.27
20.8,2.93,88.46,106.27
20.9,2.94,89.45,106.26
21,2.95,85.01,106.27
21.1,2.98,130.56,106.28
21.2,2.99,74.82,106.29
21.3,3,67.42,106.31
21.4,3,68.24,106.31
21.5,3,81.39,106.31
21.6,2.98,100.47,106.33
21.7,2.96,91.26,106.33
21.8,2.93,86.66,106.31
21.9,2.91,117.24,106.28
22,2.91,111.81,106.26
22.1,2.91,111.65,106.28
22.2,2.92,86.16,106.26
22.3,2.92,67.91,106.29
22.4,2.93,104.74,106.28
22.5,2.93,105.24,106.29
22.6,2.93,94.22,106.3
22.7,2.93,112.96,106.27
22.8,2.92,98.82,106.25
22.9,2.9,87.97,106.26
23,2.95,88.63,106.28
23.1,3.03,69.39,106.31
23.2,3.07,73.17,106.31
23.3,3.03,55.08,106.33
23.4,2.95,82.38,106.3
23.5,2.92,89.94,106.27
23.6,2.91,77.12,106.26
23.7,2.93,82.54,106.28
23.8,2.95,82.71,106.29
23.9,2.96,96.85,106.29
24,2.97,89.29,106.28
24.1,2.95,122.17,106.29
24.2,2.95,93.07,106.31
24.3,2.95,107.04,106.29
24.4,2.96,92.08,106.29
24.5,2.98,109.35,106.29
24.6,2.99,111.65,106.29
24.7,2.98,110.99,106.27
24.8,2.97,117.4,106.28
24.9,2.98,101.95,106.31
25,3,111.16,106.29
25.1,3.01,114.12,106.3
25.2,3.02,99.48,106.28
25.3,3.03,57.72,106.29
25.4,3.03,100.8,106.28
25.5,3.02,89.29,106.29
25.6,3.01,101.13,106.29
25.7,3.01,99.81,106.29
25.8,3,79.58,106.27
25.9,2.97,93.73,106.35
26,2.95,95.04,106.88
26.1,2.92,83.7,107.54
26.2,2.9,91.26,108.09
26.3,2.9,106.22,108.23
26.4,2.87,73.01,108.53
26.5,2.73,99.48,109.82
26.6,2.54,108.69,111.41
26.7,2.39,128.59,112.79
